HomeTeam,AwayTeam,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,FTH Goals,FTA Goals
3,26,8.0,13.0,7.0,9.0,14.0,11.0,6.0,6.0,2.0,1.0,0.0,0.0,2,2
2,16,16.0,4.0,11.0,1.0,8.0,14.0,11.0,3.0,1.0,1.0,0.0,0.0,0,1
13,30,8.0,11.0,7.0,7.0,14.0,8.0,3.0,4.0,3.0,0.0,0.0,0.0,1,2
19,42,8.0,5.0,4.0,1.0,11.0,9.0,5.0,4.0,0.0,1.0,0.0,0.0,2,0
0,38,14.0,7.0,9.0,4.0,8.0,21.0,7.0,7.0,1.0,4.0,0.0,0.0,2,2
44,14,12.0,19.0,9.0,9.0,12.0,8.0,2.0,6.0,1.0,0.0,0.0,0.0,1,4
30,34,26.0,3.0,11.0,1.0,5.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,1,1
29,0,11.0,12.0,5.0,6.0,20.0,23.0,3.0,3.0,2.0,3.0,0.0,0.0,2,0
38,2,6.0,8.0,1.0,2.0,11.0,11.0,4.0,4.0,0.0,1.0,0.0,0.0,0,0
31,28,16.0,11.0,11.0,6.0,13.0,14.0,7.0,5.0,2.0,3.0,0.0,0.0,4,3
26,13,17.0,3.0,7.0,1.0,9.0,11.0,12.0,0.0,0.0,1.0,0.0,0.0,2,0
16,44,11.0,11.0,4.0,6.0,11.0,15.0,7.0,10.0,1.0,3.0,0.0,0.0,3,0
32,18,22.0,13.0,10.0,9.0,8.0,11.0,11.0,4.0,0.0,2.0,0.0,0.0,2,3
42,5,8.0,6.0,5.0,4.0,14.0,17.0,2.0,3.0,0.0,0.0,0.0,0.0,1,2
14,3,17.0,7.0,13.0,4.0,11.0,11.0,12.0,3.0,1.0,2.0,0.0,0.0,4,0
1,19,11.0,7.0,5.0,1.0,21.0,14.0,8.0,4.0,0.0,1.0,0.0,0.0,2,0
34,42,11.0,16.0,6.0,7.0,12.0,11.0,3.0,5.0,0.0,0.0,0.0,0.0,1,0
13,31,11.0,15.0,6.0,8.0,15.0,7.0,8.0,9.0,1.0,1.0,0.0,0.0,1,1
3,30,12.0,16.0,5.0,10.0,12.0,14.0,2.0,10.0,2.0,1.0,1.0,0.0,0,4
0,1,18.0,5.0,15.0,2.0,11.0,22.0,6.0,3.0,2.0,4.0,0.0,0.0,3,1
44,32,9.0,12.0,2.0,5.0,13.0,21.0,2.0,3.0,2.0,2.0,0.0,0.0,0,0
28,14,4.0,9.0,1.0,3.0,6.0,7.0,0.0,12.0,1.0,2.0,0.0,0.0,1,0
18,38,14.0,8.0,5.0,4.0,5.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,1,0
2,29,14.0,12.0,6.0,7.0,16.0,11.0,3.0,3.0,1.0,0.0,0.0,0.0,0,0
19,26,5.0,10.0,3.0,3.0,12.0,14.0,3.0,6.0,1.0,3.0,0.0,1.0,2,4
5,16,21.0,7.0,7.0,2.0,19.0,14.0,7.0,3.0,1.0,1.0,0.0,0.0,1,0
16,19,20.0,8.0,10.0,5.0,10.0,10.0,10.0,3.0,1.0,1.0,0.0,1.0,2,0
14,26,13.0,5.0,5.0,3.0,14.0,20.0,11.0,2.0,0.0,1.0,0.0,0.0,1,0
2,31,10.0,6.0,6.0,3.0,17.0,14.0,6.0,5.0,3.0,2.0,0.0,0.0,2,2
29,30,22.0,13.0,10.0,9.0,8.0,13.0,10.0,2.0,1.0,3.0,0.0,0.0,1,1
0,13,15.0,4.0,9.0,0.0,13.0,15.0,6.0,1.0,3.0,1.0,0.0,0.0,4,0
38,28,16.0,21.0,11.0,11.0,13.0,11.0,6.0,14.0,0.0,0.0,0.0,0.0,0,0
32,34,17.0,13.0,9.0,5.0,13.0,7.0,8.0,2.0,1.0,4.0,0.0,0.0,2,2
3,1,13.0,15.0,7.0,9.0,14.0,17.0,5.0,8.0,2.0,2.0,0.0,0.0,2,2
44,5,13.0,16.0,7.0,7.0,18.0,15.0,6.0,5.0,0.0,0.0,0.0,0.0,2,1
18,42,10.0,8.0,4.0,2.0,9.0,13.0,11.0,2.0,1.0,2.0,0.0,0.0,0,1
13,3,6.0,12.0,3.0,7.0,18.0,14.0,6.0,10.0,1.0,1.0,0.0,0.0,1,0
34,18,11.0,9.0,6.0,2.0,12.0,16.0,3.0,6.0,1.0,1.0,0.0,0.0,0,1
1,16,10.0,13.0,5.0,8.0,10.0,15.0,5.0,8.0,2.0,1.0,0.0,0.0,1,1
26,32,20.0,2.0,12.0,1.0,10.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,3,0
28,0,11.0,12.0,7.0,9.0,16.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0,1
19,38,11.0,15.0,6.0,5.0,11.0,19.0,5.0,4.0,0.0,1.0,0.0,0.0,1,0
5,2,16.0,6.0,12.0,2.0,7.0,18.0,7.0,2.0,2.0,1.0,0.0,0.0,1,1
31,44,31.0,7.0,10.0,3.0,15.0,15.0,8.0,3.0,3.0,2.0,0.0,1.0,3,1
42,29,11.0,6.0,5.0,4.0,9.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,0,1
30,14,8.0,17.0,4.0,12.0,10.0,15.0,3.0,7.0,0.0,1.0,0.0,0.0,0,1
29,26,14.0,6.0,9.0,3.0,22.0,15.0,7.0,2.0,1.0,2.0,0.0,0.0,2,1
14,42,20.0,6.0,8.0,3.0,16.0,13.0,9.0,6.0,1.0,2.0,0.0,0.0,0,0
18,30,11.0,16.0,9.0,11.0,13.0,12.0,6.0,3.0,1.0,4.0,0.0,0.0,1,0
38,31,11.0,9.0,6.0,3.0,15.0,11.0,7.0,6.0,0.0,3.0,0.0,0.0,1,2
16,28,3.0,14.0,1.0,10.0,14.0,15.0,2.0,7.0,2.0,2.0,0.0,0.0,1,2
3,34,13.0,6.0,3.0,2.0,13.0,15.0,13.0,4.0,0.0,3.0,0.0,0.0,1,0
44,19,8.0,9.0,5.0,3.0,11.0,6.0,11.0,9.0,2.0,5.0,1.0,2.0,1,1
32,1,14.0,18.0,3.0,9.0,10.0,13.0,1.0,6.0,1.0,1.0,0.0,0.0,0,0
2,13,7.0,2.0,5.0,1.0,12.0,16.0,12.0,3.0,3.0,2.0,1.0,0.0,1,1
0,5,11.0,8.0,6.0,5.0,13.0,17.0,3.0,8.0,1.0,3.0,0.0,0.0,2,2
13,38,8.0,12.0,4.0,7.0,12.0,13.0,9.0,10.0,0.0,1.0,0.0,0.0,0,0
42,32,15.0,7.0,7.0,2.0,17.0,9.0,13.0,5.0,2.0,1.0,0.0,0.0,0,0
1,14,11.0,18.0,5.0,10.0,9.0,12.0,2.0,9.0,0.0,1.0,0.0,0.0,0,0
26,44,16.0,9.0,9.0,5.0,9.0,11.0,8.0,6.0,0.0,0.0,0.0,0.0,3,0
34,16,16.0,6.0,7.0,3.0,14.0,21.0,8.0,7.0,0.0,2.0,0.0,0.0,3,1
30,2,14.0,5.0,6.0,3.0,16.0,19.0,6.0,3.0,2.0,3.0,0.0,0.0,2,1
5,29,12.0,12.0,7.0,7.0,22.0,15.0,4.0,7.0,2.0,1.0,0.0,0.0,2,2
28,18,13.0,6.0,4.0,5.0,14.0,9.0,9.0,6.0,1.0,3.0,0.0,1.0,0,1
19,0,9.0,12.0,7.0,7.0,16.0,10.0,9.0,4.0,2.0,2.0,0.0,0.0,0,3
31,3,7.0,5.0,4.0,1.0,10.0,19.0,8.0,5.0,2.0,1.0,0.0,0.0,3,0
34,19,21.0,18.0,13.0,10.0,12.0,12.0,6.0,8.0,0.0,2.0,0.0,0.0,4,3
29,18,14.0,7.0,6.0,2.0,8.0,13.0,8.0,2.0,0.0,2.0,0.0,0.0,0,0
5,26,10.0,7.0,8.0,2.0,15.0,14.0,5.0,2.0,2.0,0.0,0.0,0.0,1,0
28,13,16.0,6.0,10.0,3.0,11.0,8.0,6.0,4.0,0.0,1.0,0.0,0.0,4,0
42,2,6.0,10.0,3.0,2.0,15.0,5.0,2.0,8.0,4.0,1.0,0.0,0.0,1,0
30,16,24.0,6.0,15.0,2.0,16.0,16.0,4.0,2.0,1.0,2.0,0.0,0.0,2,1
1,31,16.0,12.0,13.0,10.0,23.0,11.0,9.0,4.0,3.0,1.0,0.0,0.0,4,2
14,38,16.0,6.0,7.0,2.0,11.0,12.0,9.0,0.0,0.0,4.0,0.0,0.0,2,1
3,29,8.0,24.0,4.0,15.0,25.0,17.0,4.0,14.0,3.0,1.0,1.0,0.0,1,1
18,44,16.0,12.0,10.0,8.0,11.0,16.0,7.0,6.0,0.0,1.0,0.0,0.0,2,1
32,0,5.0,18.0,5.0,15.0,15.0,5.0,4.0,10.0,1.0,1.0,0.0,0.0,1,4
38,5,10.0,9.0,6.0,5.0,9.0,8.0,9.0,6.0,1.0,1.0,0.0,0.0,1,2
19,30,6.0,10.0,2.0,5.0,10.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0,2
0,3,15.0,3.0,9.0,0.0,11.0,18.0,6.0,5.0,2.0,4.0,0.0,0.0,3,0
31,32,23.0,13.0,15.0,5.0,17.0,10.0,12.0,6.0,0.0,1.0,0.0,0.0,2,2
13,1,7.0,9.0,5.0,4.0,6.0,7.0,4.0,12.0,0.0,1.0,0.0,0.0,3,0
44,42,4.0,12.0,2.0,6.0,13.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,1,1
2,28,6.0,4.0,2.0,1.0,20.0,13.0,2.0,5.0,1.0,1.0,0.0,0.0,1,0
16,14,7.0,16.0,4.0,10.0,9.0,12.0,1.0,6.0,1.0,1.0,0.0,0.0,0,2
0,30,16.0,9.0,11.0,5.0,8.0,14.0,7.0,5.0,1.0,1.0,0.0,0.0,5,3
44,1,14.0,9.0,5.0,4.0,12.0,20.0,12.0,4.0,2.0,2.0,0.0,0.0,1,1
26,28,15.0,7.0,10.0,4.0,9.0,17.0,8.0,3.0,1.0,3.0,0.0,1.0,2,1
31,42,13.0,15.0,6.0,8.0,10.0,12.0,13.0,3.0,1.0,2.0,0.0,0.0,0,1
16,18,15.0,14.0,9.0,7.0,6.0,18.0,6.0,6.0,1.0,1.0,0.0,1.0,1,3
19,5,23.0,10.0,12.0,4.0,11.0,13.0,8.0,4.0,0.0,0.0,0.0,0.0,2,0
29,32,17.0,7.0,7.0,2.0,8.0,23.0,11.0,5.0,0.0,1.0,0.0,0.0,2,1
38,3,13.0,10.0,7.0,6.0,12.0,18.0,3.0,6.0,0.0,3.0,0.0,0.0,3,2
13,34,18.0,10.0,14.0,6.0,9.0,11.0,5.0,6.0,0.0,1.0,0.0,0.0,2,1
2,14,9.0,7.0,3.0,3.0,10.0,16.0,8.0,2.0,0.0,0.0,0.0,0.0,0,1
14,29,8.0,11.0,5.0,3.0,17.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,1,0
18,0,9.0,18.0,5.0,14.0,14.0,19.0,0.0,7.0,2.0,1.0,0.0,0.0,1,4
32,16,14.0,14.0,10.0,8.0,14.0,16.0,6.0,11.0,0.0,1.0,0.0,0.0,1,1
30,31,15.0,11.0,8.0,4.0,16.0,13.0,6.0,7.0,3.0,1.0,0.0,0.0,2,2
5,13,21.0,9.0,11.0,5.0,10.0,12.0,9.0,5.0,1.0,1.0,0.0,0.0,4,1
1,38,14.0,6.0,5.0,2.0,14.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,2,0
28,19,12.0,4.0,5.0,2.0,14.0,12.0,9.0,4.0,0.0,2.0,0.0,0.0,1,1
3,44,12.0,4.0,4.0,2.0,15.0,17.0,4.0,5.0,1.0,0.0,0.0,0.0,1,1
34,2,14.0,16.0,8.0,11.0,13.0,16.0,8.0,4.0,2.0,4.0,0.0,0.0,1,1
42,26,14.0,16.0,7.0,8.0,17.0,11.0,3.0,8.0,3.0,1.0,0.0,0.0,1,1
0,25,17.0,2.0,10.0,1.0,15.0,13.0,7.0,5.0,0.0,1.0,0.0,0.0,2,1
28,18,13.0,2.0,11.0,0.0,5.0,8.0,7.0,3.0,1.0,1.0,0.0,0.0,5,1
1,29,16.0,12.0,8.0,8.0,21.0,15.0,9.0,4.0,4.0,3.0,0.0,2.0,0,2
3,2,10.0,9.0,5.0,5.0,11.0,12.0,6.0,8.0,0.0,0.0,0.0,0.0,1,1
47,42,18.0,14.0,10.0,12.0,6.0,11.0,5.0,3.0,1.0,1.0,1.0,0.0,0,2
26,31,8.0,6.0,4.0,5.0,11.0,17.0,8.0,1.0,1.0,1.0,0.0,0.0,1,1
5,19,17.0,10.0,9.0,6.0,9.0,14.0,11.0,3.0,1.0,1.0,0.0,0.0,0,2
14,24,19.0,4.0,9.0,0.0,5.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,1,0
13,38,10.0,12.0,5.0,4.0,13.0,10.0,7.0,10.0,0.0,1.0,0.0,0.0,2,1
34,30,16.0,19.0,10.0,4.0,12.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,5,1
38,31,15.0,22.0,12.0,12.0,13.0,16.0,3.0,5.0,1.0,2.0,0.0,0.0,3,3
31,47,19.0,15.0,8.0,7.0,13.0,11.0,13.0,3.0,1.0,2.0,0.0,0.0,1,1
19,0,12.0,7.0,5.0,5.0,13.0,19.0,6.0,7.0,1.0,3.0,0.0,0.0,0,1
30,28,12.0,14.0,7.0,6.0,9.0,14.0,5.0,4.0,1.0,1.0,0.0,0.0,2,1
24,13,13.0,12.0,7.0,6.0,12.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,3,3
29,14,12.0,11.0,7.0,7.0,9.0,19.0,6.0,2.0,3.0,2.0,0.0,1.0,1,1
18,5,16.0,10.0,9.0,3.0,14.0,9.0,7.0,3.0,2.0,0.0,0.0,0.0,1,2
2,26,3.0,15.0,2.0,8.0,11.0,12.0,3.0,5.0,2.0,0.0,1.0,0.0,0,3
38,1,18.0,14.0,10.0,7.0,10.0,13.0,4.0,4.0,1.0,0.0,0.0,0.0,1,1
25,34,13.0,14.0,9.0,7.0,11.0,15.0,8.0,3.0,0.0,2.0,0.0,0.0,3,1
42,3,16.0,14.0,13.0,2.0,9.0,17.0,7.0,7.0,0.0,2.0,0.0,0.0,1,0
34,0,11.0,20.0,6.0,9.0,13.0,10.0,5.0,12.0,0.0,2.0,0.0,0.0,1,1
1,42,11.0,10.0,6.0,5.0,15.0,20.0,5.0,5.0,2.0,1.0,0.0,0.0,1,0
26,30,15.0,12.0,8.0,6.0,12.0,14.0,7.0,3.0,1.0,1.0,0.0,0.0,2,0
5,24,21.0,6.0,14.0,4.0,14.0,20.0,9.0,3.0,3.0,2.0,0.0,1.0,4,1
34,19,14.0,11.0,7.0,7.0,14.0,13.0,10.0,3.0,1.0,4.0,0.0,0.0,1,1
28,31,7.0,7.0,3.0,6.0,7.0,9.0,7.0,5.0,1.0,1.0,0.0,0.0,1,0
0,2,7.0,3.0,1.0,3.0,13.0,16.0,2.0,3.0,0.0,2.0,0.0,0.0,0,0
14,38,12.0,5.0,7.0,3.0,6.0,5.0,12.0,3.0,0.0,0.0,0.0,0.0,4,0
